employee_id,absence_reason_code,absence_month,weekday_code,season_indicator,commute_cost,commute_distance,years_at_company,employee_age,daily_workload,performance_target,disciplinary_action,education_level,dependents,alcohol_consumption,tobacco_use,pet_count,body_weight_kg,body_height_cm,bmi_score,absence_duration_hours,engagement_level,bmi_category,age_group,tenure_group,health_risk_score,commute_burden,is_friday,is_monday,workload_per_performance,lifestyle_blend,age_workload_interaction,no_justification,high_dependents,predicted_engagement_level,predicted_engagement_label
11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4,1,2,1,2,2,10404,0,0,2.4696286113784938,30,7905.282,0,0,1,Moderately Engaged
36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,0,3,2,2,2,1534,0,0,2.4696286113784938,31,11977.7,1,0,0,Highly Engaged
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1,3,1,2,2,9129,0,0,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4,1,1,1,2,2,1395,0,0,2.4696286113784938,25,9342.606,0,0,1,Moderately Engaged
11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2,1,2,1,2,2,10404,0,0,2.4696286113784938,30,7905.282,0,0,1,Moderately Engaged
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1,3,1,2,2,9129,1,0,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8,1,2,0,0,1,18772,1,0,2.4696286113784938,27,6707.512,0,0,1,Moderately Engaged
20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4,1,1,1,2,1,13000,1,0,2.4696286113784938,23,8623.944,0,1,1,Moderately Engaged
14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,26,2,1,1,2,1,1860,0,1,2.4696286113784938,25,8144.836,0,0,2,At-Risk
1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8,1,2,1,2,0,2585,0,1,2.4696286113784938,0,8863.498,0,0,1,Moderately Engaged
20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,1,1,1,2,1,13000,0,1,2.4696286113784938,23,8623.944,0,1,1,Moderately Engaged
20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,1,1,1,2,1,13000,0,0,2.4696286113784938,23,8623.944,0,1,1,Moderately Engaged
20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,1,1,1,2,1,13000,0,0,2.4696286113784938,23,8623.944,0,1,1,Moderately Engaged
3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1,1,3,1,2,2,9129,0,0,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4,1,3,1,2,2,9129,0,0,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8,1,1,2,2,1,6150,1,0,2.4696286113784938,23,9821.714,0,0,1,Moderately Engaged
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,1,3,1,2,2,9129,1,0,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8,1,3,1,2,2,9129,0,1,2.4696286113784938,31,9103.052,0,0,1,Moderately Engaged
